CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4805026,Drumheller,2003,Natural Gas Production,m3,104493.20000
4805026,Drumheller,2004,Natural Gas Production,m3,105486.40000
4805026,Drumheller,2005,Natural Gas Production,m3,130930.00000
4805026,Drumheller,2006,Natural Gas Production,m3,128564.00000
4805026,Drumheller,2007,Natural Gas Production,m3,124354.00000
4805026,Drumheller,2008,Natural Gas Production,m3,107045.40000
4805026,Drumheller,2009,Natural Gas Production,m3,105952.60000
4805026,Drumheller,2010,Natural Gas Production,m3,91795.70000
4805026,Drumheller,2011,Natural Gas Production,m3,84747.10000
4805026,Drumheller,2012,Natural Gas Production,m3,70629.20000
4805026,Drumheller,2013,Natural Gas Production,m3,63666.50000
4805026,Drumheller,2014,Natural Gas Production,m3,58207.00000
4805026,Drumheller,2015,Natural Gas Production,m3,52249.00000
4805026,Drumheller,2016,Natural Gas Production,m3,52705.70000
4805026,Drumheller,2017,Natural Gas Production,m3,53841.50000
4805026,Drumheller,2018,Natural Gas Production,m3,45710.90000
4805026,Drumheller,2019,Natural Gas Production,m3,48076.60000
4805026,Drumheller,2020,Natural Gas Production,m3,50547.40000
4805026,Drumheller,2021,Natural Gas Production,m3,54286.50000
4805026,Drumheller,2022,Natural Gas Production,m3,52454.70000
4805031,Starland County,2022,Natural Gas Production,m3,426395.50000
4805031,Starland County,2003,Natural Gas Production,m3,937284.50000
4805031,Starland County,2004,Natural Gas Production,m3,1080877.20000
4805031,Starland County,2005,Natural Gas Production,m3,1227728.00000
4805031,Starland County,2006,Natural Gas Production,m3,1436376.00000
4805031,Starland County,2007,Natural Gas Production,m3,1421712.00000
4805031,Starland County,2008,Natural Gas Production,m3,1289980.00000
4805031,Starland County,2009,Natural Gas Production,m3,1188094.00000
4805031,Starland County,2010,Natural Gas Production,m3,1063121.90000
4805031,Starland County,2011,Natural Gas Production,m3,949918.80000
4805031,Starland County,2012,Natural Gas Production,m3,860260.10000
4805031,Starland County,2013,Natural Gas Production,m3,805825.50000
4805031,Starland County,2014,Natural Gas Production,m3,759487.30000
4805031,Starland County,2015,Natural Gas Production,m3,714994.60000
4805031,Starland County,2016,Natural Gas Production,m3,662882.60000
4805031,Starland County,2017,Natural Gas Production,m3,642743.00000
4805031,Starland County,2018,Natural Gas Production,m3,562042.60000
4805031,Starland County,2019,Natural Gas Production,m3,353518.20000
4805031,Starland County,2020,Natural Gas Production,m3,341682.90000
4805031,Starland County,2021,Natural Gas Production,m3,426781.80000
4805041,Kneehill County,2003,Natural Gas Production,m3,2733819.10000
4805041,Kneehill County,2004,Natural Gas Production,m3,2640148.10000
4805041,Kneehill County,2005,Natural Gas Production,m3,2804363.00000
4805041,Kneehill County,2006,Natural Gas Production,m3,3244827.00000
4805041,Kneehill County,2007,Natural Gas Production,m3,4042910.00000
4805041,Kneehill County,2008,Natural Gas Production,m3,4036484.10000
4805041,Kneehill County,2009,Natural Gas Production,m3,4175446.90000
4805041,Kneehill County,2010,Natural Gas Production,m3,3896734.30000
4805041,Kneehill County,2011,Natural Gas Production,m3,3740434.30000
4805041,Kneehill County,2012,Natural Gas Production,m3,3346976.40000
4805041,Kneehill County,2013,Natural Gas Production,m3,3517555.00000
4805041,Kneehill County,2014,Natural Gas Production,m3,3315932.80000
4805041,Kneehill County,2015,Natural Gas Production,m3,2847817.40000
4805041,Kneehill County,2016,Natural Gas Production,m3,2790904.10000
4805041,Kneehill County,2017,Natural Gas Production,m3,2620111.90000
4805041,Kneehill County,2018,Natural Gas Production,m3,2452892.30000
4805041,Kneehill County,2019,Natural Gas Production,m3,2208505.20000
4805041,Kneehill County,2020,Natural Gas Production,m3,2087454.90000
4805041,Kneehill County,2021,Natural Gas Production,m3,2536001.70000
4805041,Kneehill County,2022,Natural Gas Production,m3,2325108.40000
4802001,Warner County No. 5,2022,Natural Gas Production,m3,256123.40000
4802001,Warner County No. 5,2003,Natural Gas Production,m3,287307.70000
4802001,Warner County No. 5,2004,Natural Gas Production,m3,333169.90000
4802001,Warner County No. 5,2005,Natural Gas Production,m3,272485.00000
4802001,Warner County No. 5,2006,Natural Gas Production,m3,235071.00000
4802001,Warner County No. 5,2007,Natural Gas Production,m3,187894.00000
4802001,Warner County No. 5,2008,Natural Gas Production,m3,141761.70000
4802001,Warner County No. 5,2009,Natural Gas Production,m3,121447.80000
4802001,Warner County No. 5,2010,Natural Gas Production,m3,105293.10000
4802001,Warner County No. 5,2011,Natural Gas Production,m3,81705.00000
4802001,Warner County No. 5,2012,Natural Gas Production,m3,78897.20000
4802001,Warner County No. 5,2013,Natural Gas Production,m3,84459.90000
4802001,Warner County No. 5,2014,Natural Gas Production,m3,100252.30000
4802001,Warner County No. 5,2015,Natural Gas Production,m3,105691.60000
4802001,Warner County No. 5,2016,Natural Gas Production,m3,135583.00000
4802001,Warner County No. 5,2017,Natural Gas Production,m3,227342.00000
4802001,Warner County No. 5,2018,Natural Gas Production,m3,229669.10000
4802001,Warner County No. 5,2019,Natural Gas Production,m3,156978.00000
4802001,Warner County No. 5,2020,Natural Gas Production,m3,200245.70000
