CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4805026,Drumheller,2003,Well Count,,10.00000
4805026,Drumheller,2004,Well Count,,35.00000
4805026,Drumheller,2005,Well Count,,21.00000
4805026,Drumheller,2006,Well Count,,17.00000
4805026,Drumheller,2007,Well Count,,11.00000
4805026,Drumheller,2008,Well Count,,11.00000
4805026,Drumheller,2009,Well Count,,2.00000
4805026,Drumheller,2010,Well Count,,6.00000
4805026,Drumheller,2012,Well Count,,2.00000
4805026,Drumheller,2013,Well Count,,1.00000
4805026,Drumheller,2014,Well Count,,0.00000
4805026,Drumheller,2017,Well Count,,0.00000
4805026,Drumheller,2018,Well Count,,3.00000
4805026,Drumheller,2019,Well Count,,2.00000
4805026,Drumheller,2020,Well Count,,1.00000
4805026,Drumheller,2021,Well Count,,2.00000
4805026,Drumheller,2022,Well Count,,5.00000
4805031,Starland County,2022,Well Count,,2.00000
4805031,Starland County,2003,Well Count,,113.00000
4805031,Starland County,2004,Well Count,,286.00000
4805031,Starland County,2005,Well Count,,495.00000
4805031,Starland County,2006,Well Count,,278.00000
4805031,Starland County,2007,Well Count,,103.00000
4805031,Starland County,2008,Well Count,,137.00000
4805031,Starland County,2009,Well Count,,37.00000
4805031,Starland County,2010,Well Count,,38.00000
4805031,Starland County,2011,Well Count,,62.00000
4805031,Starland County,2012,Well Count,,20.00000
4805031,Starland County,2013,Well Count,,44.00000
4805031,Starland County,2014,Well Count,,26.00000
4805031,Starland County,2015,Well Count,,9.00000
4805031,Starland County,2017,Well Count,,11.00000
4805031,Starland County,2018,Well Count,,17.00000
4805031,Starland County,2019,Well Count,,1.00000
4805031,Starland County,2020,Well Count,,1.00000
4805031,Starland County,2021,Well Count,,3.00000
4805041,Kneehill County,2003,Well Count,,235.00000
4805041,Kneehill County,2004,Well Count,,481.00000
4805041,Kneehill County,2005,Well Count,,1022.00000
4805041,Kneehill County,2006,Well Count,,735.00000
4805041,Kneehill County,2007,Well Count,,537.00000
4805041,Kneehill County,2008,Well Count,,593.00000
4805041,Kneehill County,2009,Well Count,,281.00000
4805041,Kneehill County,2010,Well Count,,392.00000
4805041,Kneehill County,2011,Well Count,,127.00000
4805041,Kneehill County,2012,Well Count,,79.00000
4805041,Kneehill County,2013,Well Count,,98.00000
4805041,Kneehill County,2014,Well Count,,70.00000
4805041,Kneehill County,2015,Well Count,,29.00000
4805041,Kneehill County,2016,Well Count,,12.00000
4805041,Kneehill County,2017,Well Count,,25.00000
4805041,Kneehill County,2018,Well Count,,44.00000
4805041,Kneehill County,2019,Well Count,,34.00000
4805041,Kneehill County,2020,Well Count,,4.00000
4805041,Kneehill County,2021,Well Count,,20.00000
4805041,Kneehill County,2022,Well Count,,41.00000
4802001,Warner County No. 5,2022,Well Count,,20.00000
4802001,Warner County No. 5,2003,Well Count,,50.00000
4802001,Warner County No. 5,2004,Well Count,,53.00000
4802001,Warner County No. 5,2005,Well Count,,96.00000
4802001,Warner County No. 5,2006,Well Count,,55.00000
4802001,Warner County No. 5,2007,Well Count,,20.00000
4802001,Warner County No. 5,2008,Well Count,,18.00000
4802001,Warner County No. 5,2009,Well Count,,13.00000
4802001,Warner County No. 5,2010,Well Count,,32.00000
4802001,Warner County No. 5,2011,Well Count,,24.00000
4802001,Warner County No. 5,2012,Well Count,,42.00000
4802001,Warner County No. 5,2013,Well Count,,25.00000
4802001,Warner County No. 5,2014,Well Count,,22.00000
4802001,Warner County No. 5,2015,Well Count,,12.00000
4802001,Warner County No. 5,2016,Well Count,,10.00000
4802001,Warner County No. 5,2017,Well Count,,12.00000
4802001,Warner County No. 5,2018,Well Count,,14.00000
4802001,Warner County No. 5,2019,Well Count,,3.00000
4802001,Warner County No. 5,2020,Well Count,,3.00000
4807049,Wainwright No. 61,2003,Well Count,,338.00000
4807049,Wainwright No. 61,2004,Well Count,,186.00000
4807049,Wainwright No. 61,2005,Well Count,,185.00000
4807049,Wainwright No. 61,2006,Well Count,,292.00000
4807049,Wainwright No. 61,2007,Well Count,,123.00000
4807049,Wainwright No. 61,2008,Well Count,,133.00000
4807049,Wainwright No. 61,2009,Well Count,,27.00000
4807049,Wainwright No. 61,2010,Well Count,,117.00000
4807049,Wainwright No. 61,2011,Well Count,,111.00000
4807049,Wainwright No. 61,2012,Well Count,,79.00000
4807049,Wainwright No. 61,2013,Well Count,,95.00000
4807049,Wainwright No. 61,2014,Well Count,,56.00000
4807049,Wainwright No. 61,2015,Well Count,,26.00000
4807049,Wainwright No. 61,2016,Well Count,,15.00000
4807049,Wainwright No. 61,2017,Well Count,,34.00000
4807049,Wainwright No. 61,2018,Well Count,,29.00000
4807049,Wainwright No. 61,2019,Well Count,,17.00000
4807049,Wainwright No. 61,2020,Well Count,,22.00000
4807049,Wainwright No. 61,2021,Well Count,,34.00000
4807049,Wainwright No. 61,2022,Well Count,,33.00000
4808001,Red Deer County,2022,Well Count,,23.00000
4808001,Red Deer County,2003,Well Count,,204.00000
4808001,Red Deer County,2004,Well Count,,359.00000
4808001,Red Deer County,2005,Well Count,,658.00000
4808001,Red Deer County,2006,Well Count,,531.00000
4808001,Red Deer County,2007,Well Count,,287.00000
4808001,Red Deer County,2008,Well Count,,429.00000
4808001,Red Deer County,2009,Well Count,,185.00000
4808001,Red Deer County,2010,Well Count,,156.00000
4808001,Red Deer County,2011,Well Count,,123.00000
4808001,Red Deer County,2012,Well Count,,48.00000
4808001,Red Deer County,2013,Well Count,,49.00000
4808001,Red Deer County,2014,Well Count,,59.00000
4808001,Red Deer County,2015,Well Count,,13.00000
4808001,Red Deer County,2016,Well Count,,7.00000
4808001,Red Deer County,2017,Well Count,,28.00000
4808001,Red Deer County,2018,Well Count,,59.00000
4808001,Red Deer County,2019,Well Count,,14.00000
4808001,Red Deer County,2020,Well Count,,2.00000
4808001,Red Deer County,2021,Well Count,,25.00000
4805012,Wheatland County,2003,Well Count,,654.00000
4805012,Wheatland County,2004,Well Count,,948.00000
4805012,Wheatland County,2005,Well Count,,593.00000
4805012,Wheatland County,2006,Well Count,,540.00000
4805012,Wheatland County,2007,Well Count,,697.00000
4805012,Wheatland County,2008,Well Count,,478.00000
4805012,Wheatland County,2009,Well Count,,272.00000
4805012,Wheatland County,2010,Well Count,,565.00000
4805012,Wheatland County,2011,Well Count,,331.00000
4805012,Wheatland County,2012,Well Count,,192.00000
4805012,Wheatland County,2013,Well Count,,291.00000
4805012,Wheatland County,2014,Well Count,,271.00000
4805012,Wheatland County,2015,Well Count,,111.00000
4805012,Wheatland County,2016,Well Count,,36.00000
4805012,Wheatland County,2017,Well Count,,32.00000
4805012,Wheatland County,2018,Well Count,,48.00000
4805012,Wheatland County,2019,Well Count,,39.00000
4805012,Wheatland County,2020,Well Count,,5.00000
4805012,Wheatland County,2021,Well Count,,21.00000
4805012,Wheatland County,2022,Well Count,,27.00000
4807019,Stettler County No. 6,2018,Well Count,,2.00000
4807019,Stettler County No. 6,2003,Well Count,,176.00000
4807019,Stettler County No. 6,2004,Well Count,,276.00000
4807019,Stettler County No. 6,2005,Well Count,,405.00000
4807019,Stettler County No. 6,2006,Well Count,,347.00000
4807019,Stettler County No. 6,2007,Well Count,,215.00000
4807019,Stettler County No. 6,2008,Well Count,,216.00000
4807019,Stettler County No. 6,2009,Well Count,,59.00000
4807019,Stettler County No. 6,2010,Well Count,,94.00000
4807019,Stettler County No. 6,2011,Well Count,,93.00000
4807019,Stettler County No. 6,2012,Well Count,,38.00000
4807019,Stettler County No. 6,2013,Well Count,,21.00000
4807019,Stettler County No. 6,2014,Well Count,,40.00000
4807019,Stettler County No. 6,2015,Well Count,,4.00000
4807019,Stettler County No. 6,2016,Well Count,,1.00000
4807019,Stettler County No. 6,2017,Well Count,,6.00000
4808022,Lacombe County,2003,Well Count,,160.00000
4808022,Lacombe County,2004,Well Count,,337.00000
4808022,Lacombe County,2005,Well Count,,410.00000
4808022,Lacombe County,2006,Well Count,,340.00000
4808022,Lacombe County,2007,Well Count,,268.00000
4808022,Lacombe County,2008,Well Count,,241.00000
4808022,Lacombe County,2009,Well Count,,150.00000
4808022,Lacombe County,2010,Well Count,,131.00000
4808022,Lacombe County,2011,Well Count,,62.00000
4808022,Lacombe County,2012,Well Count,,22.00000
4808022,Lacombe County,2013,Well Count,,26.00000
4808022,Lacombe County,2014,Well Count,,50.00000
4808022,Lacombe County,2015,Well Count,,26.00000
4808022,Lacombe County,2016,Well Count,,25.00000
4808022,Lacombe County,2017,Well Count,,40.00000
4808022,Lacombe County,2018,Well Count,,22.00000
4808022,Lacombe County,2019,Well Count,,27.00000
4808022,Lacombe County,2020,Well Count,,13.00000
4808022,Lacombe County,2021,Well Count,,3.00000
4808022,Lacombe County,2022,Well Count,,7.00000
4807031,Flagstaff County,2022,Well Count,,12.00000
4807031,Flagstaff County,2003,Well Count,,115.00000
4807031,Flagstaff County,2004,Well Count,,171.00000
4807031,Flagstaff County,2005,Well Count,,226.00000
4807031,Flagstaff County,2006,Well Count,,155.00000
4807031,Flagstaff County,2007,Well Count,,92.00000
4807031,Flagstaff County,2008,Well Count,,102.00000
4807031,Flagstaff County,2009,Well Count,,36.00000
4807031,Flagstaff County,2010,Well Count,,58.00000
4807031,Flagstaff County,2011,Well Count,,91.00000
4807031,Flagstaff County,2012,Well Count,,65.00000
4807031,Flagstaff County,2013,Well Count,,89.00000
4807031,Flagstaff County,2014,Well Count,,22.00000
4807031,Flagstaff County,2015,Well Count,,1.00000
4807031,Flagstaff County,2016,Well Count,,1.00000
4807031,Flagstaff County,2017,Well Count,,17.00000
4807031,Flagstaff County,2018,Well Count,,6.00000
4807031,Flagstaff County,2019,Well Count,,5.00000
4807031,Flagstaff County,2020,Well Count,,2.00000
4807011,Paintearth County No. 18,2003,Well Count,,105.00000
4807011,Paintearth County No. 18,2004,Well Count,,151.00000
4807011,Paintearth County No. 18,2005,Well Count,,250.00000
4807011,Paintearth County No. 18,2006,Well Count,,131.00000
4807011,Paintearth County No. 18,2007,Well Count,,90.00000
4807011,Paintearth County No. 18,2008,Well Count,,60.00000
4807011,Paintearth County No. 18,2009,Well Count,,22.00000
4807011,Paintearth County No. 18,2010,Well Count,,47.00000
4807011,Paintearth County No. 18,2011,Well Count,,82.00000
4807011,Paintearth County No. 18,2012,Well Count,,65.00000
4807011,Paintearth County No. 18,2013,Well Count,,47.00000
4807011,Paintearth County No. 18,2014,Well Count,,32.00000
4807011,Paintearth County No. 18,2015,Well Count,,12.00000
4807011,Paintearth County No. 18,2016,Well Count,,5.00000
4807011,Paintearth County No. 18,2017,Well Count,,23.00000
4807011,Paintearth County No. 18,2018,Well Count,,23.00000
4807011,Paintearth County No. 18,2019,Well Count,,17.00000
4807011,Paintearth County No. 18,2020,Well Count,,5.00000
4807011,Paintearth County No. 18,2021,Well Count,,9.00000
4807011,Paintearth County No. 18,2022,Well Count,,13.00000
4810001,Camrose County,2022,Well Count,,4.00000
